Id,Description
IV.h.12,"IV.h.(12) Post-boost vehicles (PBV) (MT);"
IV.h.13,"IV.h.(13) Engine or motor mounts specially designed for articles enumerated in paragraphs (a) and (b) of this category (MT for those articles enumerated in paragraphs (a)(1), (a)(2), and (b)(1) of this category);"
IV.h.14,"IV.h.(14) Combustion chambers specially designed for articles enumerated in paragraphs (a) and (d) of this category and specially designed parts and components therefor (MT for those articles enumerated in paragraphs (a)(1), (a)(2), (b)(1), and (d)(1) through (d)(5) of this category);"
IV.h.15,"IV.h.(15) Injectors specially designed for articles controlled in this category (MT for those injectors specially designed which are usable in systems enumerated in paragraph (a)(1) of this category);"
IV.h.16,"IV.h.(16) Solid rocket motor or liquid engine igniters;"
IV.h.17,"IV.h.(17) Re-entry vehicles and specially designed parts and components therefor not elsewhere specified in this category (MT);"
IV.h.18,"IV.h.(18) Specially designed parts and components for articles controlled in paragraph (g) not elsewhere specified in this category;"
IV.h.19,"IV.h.(19) Penetration aids and specially designed parts and components therefor (e.g., physical or electronic countermeasure suites, re-entry vehicle replicas or decoys, or submunitions);"
IV.h.20,"IV.h.(20) Rocket motor cases and specially designed parts and components therefor (e.g., flanges, flange seals, end domes) (MT for those rocket motor cases usable in systems enumerated in paragraphs (a)(1) and (a)(2) of this category and for specially designed parts and components for hybrid rocket motors enumerated in paragraphs (d)(2) and (d)(3) of this category);"
IV.h.21,"IV.h.(21) Solid rocket motor liners and rocket motor insulation (MT for those solid rocket motor liners usable in systems enumerated in paragraph (a)(1) of this category or specially designed for systems enumerated in paragraph (a)(2) of this category; and rocket motor insulation usable in systems enumerated in paragraphs (a)(1) and (a)(2) of this category);"
IV.h.22,"IV.h.(22) Radomes, sensor windows, and antenna windows specially designed for articles enumerated in paragraph (a) of this category (MT for those radomes usable in systems enumerated in paragraph (a)(1) of this category and for any radomes, sensor windows, or antenna windows manufactured as composite structures or laminates specially designed for use in the systems and components enumerated in paragraph (a)(1), (a)(2), (d)(1), (h)(8), (h)(9), (h)(17), or (h)(25) of this category);"
IV.h.23,"IV.h.(23) Rocket or missile payload fairings;"
IV.h.24,"IV.h.(24) Rocket or missile launch canisters (MT for those rocket or missile launch canisters designed or modified for systems enumerated in paragraphs (a)(1) and (a)(2) of this category);"
IV.h.25,"IV.h.(25) Fuzes specially designed for articles enumerated in paragraph (a) of this category (e.g., proximity, contact, electronic, dispenser proximity, airburst, variable time delay, or multi-option) (MT for those fuzes usable in systems enumerated in paragraph (a)(1) of this category);"
IV.h.26,"IV.h.(26) Rocket or missile liquid propellant tanks (MT for those rocket or missile liquid propellant tanks usable in systems enumerated in paragraph (a)(1) of this category);"
IV.h.27,"IV.h.(27) Rocket or missile altimeters specially designed for use in articles enumerated in paragraph (a)(1) of this category (MT);"
IV.h.28,"IV.h.(28) Pneumatic, hydraulic, mechanical, electro-optical, or electromechanical flight control systems (including fly-by-wire systems) and attitude control equipment specially designed for use in the rockets or missiles enumerated in paragraph (a)(1) of this category (MT for these systems which have been designed or modified for those enumerated in paragraph (a)(1) of this category);"
IV.h.29,"IV.h.(29) Umbilical and interstage electrical connectors specially designed for use in the rockets or missiles enumerated in paragraph (a)(1) or (a)(2) of this category (MT); or"
IV.h.30,"* IV.h.(30) Any part, component, accessory, attachment, equipment, or system that (MT for those articles designated as such):"
IV.h.30.i,"IV.h.30.(i) Is classified;"
IV.h.30.ii,"IV.h.30.(ii) Contains classified software directly related to defense articles in this subchapter or 600 series items subject to the EAR; or"
IV.h.30.iii,"IV.h.30.(iii) Is being developed using classified information."
IV.x,"(x) Commodities, software, and technical data subject to the EAR used in or with defense articles."
XV,"Spacecraft and Related Articles"
XV.a,"XV.(a) Spacecraft, including satellites and space vehicles, whether designated developmental, experimental, research, or scientific, or having a commercial, civil, or military end-use, that:"
XV.a.1,"* XV.a.(1) Are specially designed to mitigate effects (e.g., scintillation) of or for detection of a nuclear detonation;"
XV.a.2,"*XV.a. (2) Autonomously detect and track moving ground, airborne, missile, or space objects other than celestial bodies, in real-time using imaging, infrared, radar, or laser systems;"
XV.a.3,"* XV.a.(3) Conduct signals intelligence (SIGINT) or measurement and signatures intelligence (MASINT);"
XV.a.4,"* XV.a.(4) Are specially designed to be used in a constellation or formation that when operated together, in essence or effect, form a virtual satellite (e.g., functioning as if one satellite) with the characteristics or functions of other items in paragraph (a);"
XV.a.5,"* XV.a.(5) Are anti-satellite or anti-spacecraft (e.g., kinetic, RF, laser, charged particle);"
XV.a.6,"* XV.a.(6) Have space-to-ground weapons systems (e.g., kinetic or directed energy);"
XV.a.7,"* XV.a.(7) Have any of the following electro-optical remote sensing capabilities or characteristics:"
XV.a.7.i,"XV.a.7.(i) Electro-optical visible and near infrared (VNIR) (i.e., 400nm to 1,000nm) or infrared (i.e., greater than 1,000nm to 30,000nm) with less than 40 spectral bands and having a clear aperture greater than 0.50m;"
XV.a.7.ii,"XV.a.7.(ii) Electro-optical hyperspectral with 40 spectral bands or more in the VNIR, short-wavelength infrared (SWIR) (i.e., greater than 1,000nm to 2,500nm) or any combination of the aforementioned and having a Ground Sample Distance (GSD) less than 30 meters;"
XV.a.7.iii,"XV.a.7.(iii) Electro-optical hyperspectral with 40 spectral bands or more in the mid-wavelength infrared (MWIR) (i.e., greater than 2,500nm to 5,500nm) having a narrow spectral bandwidth of Δλ less than or equal to 20nm full width at half maximum (FWHM) or having a wide spectral bandwidth with Δλ greater than 20nm FWHM and a GSD less than 200 meters; or"
XV.a.7.iv,"XV.a.7.(iv) Electro-optical hyperspectral with 40 spectral bands or more in the long-wavelength infrared (LWIR) (i.e., greater than 5,500nm to 30,000nm) having a narrow spectral bandwidth of Δλ less than or equal to 50nm FWHM or having a wide spectral bandwidth with Δλ greater than 50nm FWHM and a GSD less than 500 meters;"
XV.a.8,"* XV.a.(8) Have radar remote sensing capabilities or characteristics (e.g., active electronically scanned array (AESA), synthetic aperture radar (SAR), inverse synthetic aperture radar (ISAR), ultra-wideband SAR), except those having a center frequency equal to or greater than 1 GHz but less than or equal to 10 GHz and having a bandwidth less than 300 MHz;"
XV.a.9,"XV.a.(9) Provide Positioning, Navigation, and Timing (PNT) signals;"
XV.a.10,"XV.a.(10) Autonomously perform collision avoidance;"
XV.a.11,"XV.a.(11) Are sub-orbital, incorporate propulsion systems described in paragraph (e) of this category or IV(d)(1)–(6) of this section, and are specially designed for atmospheric entry or re-entry;"
XV.a.12,"XV.a.(12) Are specially designed to provide inspection or surveillance of another spacecraft, or service another spacecraft via grappling or docking; or"
XV.a.13,"* XV.a.(13) Are classified, contain classified software or hardware, are manufactured using classified production data, or are being developed using classified information (e.g., having classified requirements, specifications, functions, or operational characteristics or include classified cryptographic items controlled under USML Category XIII of this subchapter)."
XV.b,"XV.(b) Ground control systems or training simulators, specially designed for telemetry, tracking, and control (TT&C) of spacecraft in paragraph (a) of this category."
XV.c-d,"(c)–(d) [Reserved]"
XV.e,"XV.(e) Spacecraft parts, components, accessories, attachments, equipment, or systems, as follows:"
XV.e.1,"XV.e.(1) Antenna systems specially designed for spacecraft that:"
XV.e.1.i,"XV.e.1.(i) Have a dimension greater than 25 meters in diameter or length of the major axis;"
XV.e.1.ii,"XV.e.1.(ii) Employ active electronic scanning;"
XV.e.1.iii,"XV.e.1.(iii) Are adaptive beam forming; or"
XV.e.1.iv,"XV.e.1.(iv) Are for interferometric radar;"
XV.e.2,"XV.e.(2) Space-qualified optics (i.e., lens, mirror or membrane) having one of the following:"
XV.e.2.i,"XV.e.2.(i) Active properties (e.g., adaptive, deformable) with a largest lateral clear aperture dimension greater than 0.35m; or"
XV.e.2.ii,"XV.e.2.(ii) A largest lateral clear aperture dimension greater than 0.50m;"
XV.e.3,"XV.e.(3) Space-qualified focal plane arrays (FPA) having a peak response in the wavelength range exceeding 900nm and readout integrated circuit (ROIC), whether separate or integrated, specially designed therefor;"
XV.e.4,"XV.e.(4) Space-qualified mechanical (i.e., active) cryocooler or active cold finger systems, and associated control electronics specially designed therefor;"
XV.e.5,"XV.e.(5) Space-qualified active vibration suppression systems, including active isolation and active dampening systems, and associated control electronics specially designed therefor;"
XV.e.6,"XV.e.(6) Optical bench assemblies specially designed to enable spacecraft to meet or exceed the parameters described in paragraph (a) of this category;"
XV.e.7,"XV.e.(7) Space-qualified kinetic or directed-energy systems (e.g., RF, laser, charged particle) specially designed for spacecraft in paragraph (a)(5) or (a)(6) of this category, and specially designed parts and components therefor (e.g., power conditioning and beam-handling/switching, propagation, tracking, and pointing equipment);"
XV.e.9,"XV.e.(9) Space-qualified cesium, rubidium, hydrogen maser, or quantum (e.g., based upon Al, Hg, Yb, Sr, Be Ions) atomic clocks, and specially designed parts and components therefor;"
XV.e.10,"XV.e.(10) Attitude determination and control systems, and specially designed parts and components therefor, that provide a spacecrafts geolocation accuracy, without using Ground Location Points, better than or equal to:"
XV.e.10.i,"XV.e.10 (i) 5 meters (CE90) from low earth orbit (LEO);"
XV.e.10.ii,"XV.e.10 (ii) 30 meters (CE90) from medium earth orbit (MEO);"
XV.e.10.iii,"XV.e.10 (iii) 150 meters (CE90) from geosynchronous orbit (GEO); or"
XV.e.10.iv,"XV.e.10 (iv) 225 meters (CE90) from high earth orbit (HEO);"
XV.e.11,"XV.e.(11) Space-based systems, and specially designed parts and components therefor, as follows:"
XV.e.11.i,"XV.e.11 (i) Nuclear reactors and associated power conversion systems (e.g., liquid metal or gas-cooled fast reactors);"
XV.e.11.ii,"XV.e.11 (ii) Radioisotope-based power systems (e.g., radioisotope thermoelectric generators);"
XV.e.11.iii,"XV.e.11 (iii) Nuclear thermal propulsion systems (e.g., solid core, liquid core, gas core fission); or"
XV.e.11.iv,"XV.e.11 (iv) Electric (Plasma/Ion) propulsion systems that provide a thrust greater than 300 milli-Newtons and a specific impulse greater than 1,500 sec; or that operate at an input power of more than 15kW;"
XV.e.12,"XV.e.(12) Thrusters (e.g., spacecraft or rocket engines) using bi-propellants or mono-propellant that provide greater than 150 lbf (i.e., 667.23 N) vacuum thrust (MT for rocket motors or engines having a total impulse capacity equal to or greater than 8.41 × 10^5 newton seconds);"
XV.e.13,"XV.e.(13) Control moment gyroscope (CMG) specially designed for spacecraft;"
XV.e.14,"XV.e.(14) Space-qualified monolithic microwave integrated circuits (MMIC) that combine transmit and receive (T/R) functions on a single die as follows:"
XV.e.14.i,"XV.e.14.(i) Having a power amplifier with maximum saturated peak output power (in watts), Psat, greater than 200 divided by the maximum operating frequency (in GHz) squared [Psat >200 W* GHz2/fGHz2]; or"
XV.e.14.ii,"XV.e.14.(ii) Having a common path (e.g., phase shifter-digital attenuator) circuit with greater than 3 bits phase shifting at operating frequencies 10 GHz or below, or greater than 4 bits phase shifting at operating frequencies above 10 GHz;"
XV.e.15,"XV.e.(15) Space-qualified oscillator for radar in paragraph (a) of this category with phase noise less than −120 dBc/Hz + (20 log10(RF) (in GHz)) measured at 2 KHz* RF (in GHz) from carrier;"
XV.e.16,"XV.e.(16) Space-qualified star tracker or star sensor with angular accuracy less than or equal to 1 arcsec (1-Sigma) per star coordinate, and a tracking rate equal to or greater than 3.0 deg/sec, and specially designed parts and components therefor (MT);"
XV.e.17,"* XV.e.(17) Primary, secondary, or hosted payload that performs any of the functions described in paragraph (a) of this category;"
XV.e.18,"*XV.e. (18) Secondary or hosted payload, and specially designed parts and components therefor, developed with Department of Defense-funding;"
XV.e.19,"XV.e.(19) Spacecraft heat shields or heat sinks specially designed for atmospheric entry or re-entry, and specially designed parts and components therefor (MT if usable in rockets, SLVs, missiles, drones, or UAVs capable of delivering a payload of at least 500 kg to a range of at least 300 km);"
XV.e.20,"XV.e.(20) Equipment modules, stages, or compartments that incorporate propulsion systems described in paragraph (e) of this category or IV(d)(1)–(6) of this section, and can be separated or jettisoned from another spacecraft; or"
XV.e.21,"* XV.e.(21) Any part, component, accessory, attachment, equipment, or system that:"
XV.e.21.i,"XV.e.21.(i) Is classified;"
XV.e.21.ii,"XV.e.21.(ii) Contains classified software; or"
XV.e.21.iii,"XV.e.21.(iii) Is being developed using classified information."
XV.f,"XV.(f) Technical data (see § 120.33 of this subchapter) and defense services (see § 120.32 of this subchapter) directly related to the defense articles described in paragraphs (a) through (e) of this category and classified technical data directly related to items controlled in ECCNs 9A515, 9B515, or 9D515 and defense services using the classified technical data. Defense services include the furnishing of assistance (including training) to a foreign person in the integration of a satellite or spacecraft to a launch vehicle, including both planning and onsite support, regardless of the jurisdiction, ownership, or origin of the satellite or spacecraft, or whether technical data is used. It also includes the furnishing of assistance (including training) to a foreign person in the launch failure analysis of a satellite or spacecraft, regardless of the jurisdiction, ownership, or origin of the satellite of spacecraft, or whether technical data is used. (See § 125.4 of this subchapter for exemptions, and § 124.15 of this subchapter for special export controls for satellites and satellite launches.) (MT for technical data and defense services related to articles designated as such.)"
XV.x,"XV.(x) Commodities, software, and technology subject to the EAR used in or with defense articles."
