Id,Description
110,Simultaneous measurement of three components,
112,Range equal to or greater than 300 km
125,"> 1,883K (1,610 deg C)"
128,compressors or fans
129,">= 1,373 K (1,100 °C)"
130,">= 1,693 K (1,420 °C)"
131,>= 20% of the total volume
134,"['Cylinder liners', 'Pistons', 'Cylinder heads', 'Exhaust ports', 'Turbochargers', 'Valve guides', 'Valve assemblies', 'Insulated fuel injectors']"
135,4:1 or higher
138,> 230 mm
142,regulate engine thrust or shaft power
146,relate actual usage to the analytical or design spectrum and to compute amount of fatigue life
172,< 40
185,>= 1 GHz and <= 10 GHz
187,> 25 meters
188,> 0.35m
190,> 900nm
191,"<= 5 meters from LEO, <= 30 meters from MEO, <= 150 meters from GEO, <= 225 meters from HEO"
192,> 150 lbf
193,< -120 dBc/Hz + (20 log10(RF) (in GHz))
194,<= 1 arcsec (1-Sigma) per star coordinate
