Id,Description
9A604.d,Solid propellant rocket motors or hybrid rocket motors
9A604.e,Liquid propellant rocket engines
9A604.f,Thrust vector control systems
9A604.g,Re-entry vehicles or warhead heat shields
9A604.h,"Safing, arming, fuzing, and firing components"
9A610.a,L-100 aircraft
9A610.b,Composite structures for unmanned aerial vehicles
9A610.c,Apparatus and devices for UAVs
9A610.d,Radar altimeters for UAVs
9A610.e,Flight control systems for UAVs
9A620.a,"Equipment for military ground, marine, airborne, or space applications"
9A990.a,"Diesel engines for trucks, tractors, and automotive applications"
9A990.b,Off highway wheel tractors and major components and accessories
9A990.c,On-Highway tractors with single or tandem rear axles and specially designed major components
9A991.a,"Military aircraft, demilitarized"
9B001.a,Cores
9B001.b,Shells (moulds)
9B001.c,Combined core and shell (mould) units
9B003.a,Gas turbine brush seals
9B004.a,"Solid state joining of superalloy, titanium or intermetallic airfoil-to-disk combinations"
9B005.a,Wind tunnels designed for speeds of Mach 1.2 or more
9B005.b,Devices for simulating flow-environments at speeds exceeding Mach 5
9B005.c,"Wind tunnels or devices, other than two-dimensional sections, capable of simulating Reynolds number flows exceeding 25 × 10"
9B007.a,Non-Destructive Test (NDT) techniques
9B009.a,Gas turbine engine powder metallurgy rotor parts
9B009.b,Gas turbine engine powder metallurgy rotor components
9B104.a,"Usable for rockets, missiles, or unmanned aerial vehicles"
9B104.b,Electrical power supply
9B104.c,Gas supply total pressure
9B105.a,Wind tunnels
9B105.b,Shock tunnels
9B106.a,Environmental chambers simulating flight conditions
9B117.a,Capacity to handle solid or liquid propellant rocket motors or rocket engines
9B117.b,Capability of measuring axial thrust components
9B515.c,Chambers for commodities
9B610.c,Production facilities for UAVs or drones
9C110.a,"Composite structures, laminates and manufactures specified in 9A110"
9D105.a,Software that coordinates the function of more than one subsystem
9D619.b,Software for development or production of specific components and parts
9E003.a,"Gas turbine blades, vanes or tip shrouds"
9E003.b,Combustors
9E003.c,Parts or components
9E003.d,"Stators, vanes, blades, tip seals (shrouds), rotating blings, rotating blisks or splitter ducts"
9E003.e,"Uncooled turbine blades, vanes or tip shrouds"
9E003.f,"Cooled turbine blades, vanes or tip-shrouds"
9E003.i,Fan blades
9E003.j,Engine systems
9E003.k,Turbocharger systems
9E003.l,Fuel injection systems
9E003.m,Functional requirements derivation
9E003.n,Control and diagnostic parts or components
9E003.o,Control law algorithms
9E610.a,Fatigue life monitoring systems
9E610.b,"Landing gear, and parts and components"
9E610.d,"Electrical equipment, parts, and components"
9E610.f,Self-sealing fuel bladders
9E610.g,Technology for the development or production of parts or components
9E619.b,Technology for development or production of specific components and parts
9E620.a,Cryogenic cooling systems
9E620.b,Cryogenic storage systems
9E620.c,Superconductive magnets
9E620.d,Superconductive electronics
XV.e,Radar remote sensing capabilities
XV.f,Antenna systems
XV.g,Space-qualified optics
XV.h,Space-qualified focal plane arrays (FPA)
XV.k,Attitude determination and control systems
XV.m,Thrusters
XV.o,Space-qualified oscillator for radar
XV.p,Space-qualified star tracker or star sensor
1,"24,245 kW or more"
2,not exceeding 0.219 kg/kWh
3,35% of the maximum continuous power
4,"Telemetry data processing of frame synchronization and error corrections, for monitoring of operational status (also known as health and safe status) of the ""spacecraft bus"""
5,"Command data processing for formatting command data being sent to the ""spacecraft"" to control the ""spacecraft bus"""
6,Verification of operational procedures of “spacecraft”
7,Metal matrix composites
8,Ceramic matrix composite
9,Fibrous or filamentary materials
10,Metal Matrix composites
11,Ceramic matrix composite
12,Control actively the dynamic response or distortion of spacecraft structures
13,equal to or more than 1 kN/kg
14,less than 30 ms
15,Greater than or equal to 30 minutes but less than 1 hour
16,1 hour or greater
17,Equal to or exceeding 46.3 km/h (25 knots)
18,"Above 15,240 meters (50,000 feet)"
19,"> 400 N and < 8,890 N (achieved un-installed)"
20,0.15 kg N
21,< 750 kg
22,< 1 m
23,>= 300 km
24,greater than 10 g rms between 20 Hz and 2000 Hz
25,greater than 10g rms over the entire range between 20Hz and 2 kHz
26,300 km or greater
27,>= 300 km
28,>= 300 km
29,>= 300 km
30,equal to or greater than 300 km
31,Equal to or greater than 300 km
32,> 20 liters
33,> 0.35m and <= 0.50m
34,>= 300 km
35,>= 300 km
36,>= 300 km
37,>= 8.41 x 10 pow Ns
38,>= 8.41 x 10 pow Ns
39,>= 500 kg
40,>= 300 km
41,>= 500 kg
42,>= 300 km
43,>= 500 kg
44,>= 300 km
45,< 2013
46,>= 300 km
47,>= 300 km
48,>= 500 kg
49,>= 300 km
50,>= 500 kg
51,>= 300 km
52,> 10g rms
53,20Hz to 2 kHz
54,Below 103 K (-170 deg C)
55,400 BHP (298 kW) or greater
56,SAE J1349 standard conditions of 100 Kpa and 25 deg
57,"9 mt (20,000 lbs) or more"
58,"9 mt per axel (20,000 lbs.) or greater"
59,"C-45 through C-118, C-121 through C-125, C-131"
60,reciprocating engines only
61,reciprocating engines or turboprop engines
62,< 600 s.h.p.
63,reciprocating engines only
64,reciprocating engines only
65,"manufacturing gas turbine engine blades, vanes or tip shrouds"
66,refractory metals or ceramics
67,"manufacturing gas turbine engine blades, vanes or tip shrouds"
68,refractory metals or ceramics
69,"manufacturing gas turbine engine blades, vanes or tip shrouds"
70,refractory metals or ceramics
71,> 335 m/s
72,> 773 K (500 deg C)
73,"Used for the solid state joining of superalloy, titanium or intermetallic airfoil-to-disk combinations"
74,Gas turbines
75,Mach 1.2 or more
76,Exceeding Mach 5
77,Exceeding Mach 5
78,Exceeding Mach 5
79,Exceeding Mach 5
80,Exceeding Mach 5
81,Exceeding Mach 5
82,Exceeding 25 x 10 pow 6
83,"['Planar x-ray', 'Basic physical or chemical analysis']"
84,60% of Ultimate Tensile Strength (UTS) or more
85,873 K (600 deg C) or more
86,60% of Ultimate Tensile Strength (UTS) or more
87,873 K (600 deg C) or more
88,>= 300 km
89,>= 5 MW
90,>= 3 MPa
91,Mach 0.9 or more
92,"['rockets', 'missiles', 'unmanned aerial vehicles']"
93,>= 300 km
94,Mach 3 or less
95,<= 250 mm
96,Aerodynamic test facilities
97,Mach 0.9 or more
98,"['rockets', 'missiles', 'unmanned aerial vehicles']"
99,>= 300 km
100,Aerodynamic test facilities
101,Mach 3 or less
102,<= 250 mm
103,"equal to or greater than 15,000 m"
104,from below -50 deg C to above 125 deg C
105,"equal to or greater than 10 g rms, measured 'bare table,' between 20 Hz and 2 kHz"
106,equal to or greater than 5 kN
107,at an overall sound pressure level of 140 dB or greater (referenced to 2 x 10-5 N/m2) or with a total rated acoustic power output of 4kW or greater
108,at least -50 deg C to + 125 deg C
109,> 68 kN
110,Simultaneous measurement of three components
111,< (10 pow 4) Torr
112,Range equal to or greater than 300 km
113,"['organic matrix', 'metal matrix']"
114,"['fibrous', 'filamentary']"
115,> 7.62 x 10 pow m
116,Capable of achieving a range equal to or greater than 300 km
117,"['casings', 'blades', 'vanes', 'spools', 'shrouds', 'blisks', 'shafts', 'disks', 'impellers']"
118,"['casings', 'fuel nozzles', 'swirlers', 'swirler cups', 'deswirlers', 'valve injectors', 'igniters', 'diffusers', 'liners', 'chambers', 'cowlings', 'domes', 'shells']"
119,"['casings', 'shafts', 'disks', 'blades', 'vanes', 'nozzles', 'tip shrouds']"
120,"['casings', 'shafts', 'disks', 'blades', 'vanes', 'nozzles', 'tip shrouds']"
121,"['casings', 'flame holders', 'spray bars', 'pilot burners', 'augmentor fuel controls', 'flaps (external, convergent, and divergent)', 'guide and syncronization rings', 'flame detectors and sensors']"
122,"['Fuel metering units and fuel pump metering units', 'valves (fuel throttle, main metering, oil flow management)', 'heat exchangers (air/air, fuel/air, fuel/oil)', 'debris monitoring (inlet and exhaust)', 'seals (carbon, labyrinth, brush, balance piston, and knife-edge, 'permanent magnetic alternator and generator', 'eddy current sensors']"
123,directionally solidified (DS) or single crystal (SC) alloys
124,"> 400 hours at 1,273 K (1,000 deg C) at a stress of 200 MPa"
125,"> 1,883K (1,610 deg C)"
126,organic composite materials
127,> 588 K (315 deg C)
128,compressors or fans
129,">= 1,373 K (1,100 °C)"
130,">= 1,693 K (1,420 °C)"
131,>= 20% of the total volume
132,vacuum or gas only
133,>= 5 cm
134,"['Cylinder liners', 'Pistons', 'Cylinder heads', 'Exhaust ports', 'Turbochargers', 'Valve guides', 'Valve assemblies', 'Insulated fuel injectors']"
135,4:1 or higher
136,30 to 130 kg per minute
137,variable within the compressor or turbine sections
138,> 230 mm
139,"electronic, designed for switching governor characteristics automatically depending on fuel property"
140,regulate engine thrust or shaft power
141,regulate engine thrust or shaft power
142,regulate engine thrust or shaft power
143,maintain engine stability
144,maintain engine stability
145,maintain engine stability
146,relate actual usage to the analytical or design spectrum and to compute amount of fatigue life
147,"use in aircraft weighing more than 21,000 pounds controlled by either USML subcategory VIII(a) or ECCN 9A610.a, except for Military Commercial Derivative Aircraft"
148,for electro-magnetic interference (EMI)
149,".50 caliber or larger gunfire test (MIL-DTL-5578, MIL-DTL-27422)"
150,for damage or failure-adaptive flight control systems controlled in Category VIII(h)(7) of the USML
151,['Casings']
152,"['Casings', 'fuel nozzles', 'swirlers', 'swirler cups', 'deswirlers', 'valve injectors', 'igniters']"
153,['Casings']
154,['Casings']
155,"['Casings', 'flame holders', 'spray bars', 'pilot burners', 'augmentor fuel controls', 'flaps (external, convergent, and divergent)', 'guide and syncronization rings', 'flame detectors and sensors']"
156,"['Fuel metering units and fuel pump metering units', 'valves (fuel throttle, main metering, oil flow management)', 'heat exchangers (air/air, fuel/air, fuel/oil)', 'debris monitoring (inlet and exhaust)', 'seals (carbon, labyrinth, brush, balance piston, and knife-edge, 'permanent magnetic alternator and generator', 'eddy current sensors']"
157,"['blades', 'vanes', 'spools', 'shrouds', 'blisks', 'shafts', 'disks', 'impellers']"
158,"['diffusers', 'liners', 'chambers', 'cowlings', 'domes and shells']"
159,"['shafts and disks', 'blades', 'vanes', 'nozzles', 'tip shrouds']"
160,"['shafts and disks', 'blades', 'vanes', 'nozzles', 'tip shrouds']"
161,< 123K
162,> 0.5W at 77K
163,< 4.2K
164,< 0.1W/mK
165,> 1L
166,< 0.01W/mK
167,> 2T
168,< 4.2K
169,< 4.2K
170,< 10^-15 Tesla
171,"400nm to 1,000nm"
172,< 40
173,> 0.50m
174,"1,000nm to 2,500nm"
175,>= 40
176,< 30 meters
177,"2,500nm to 5,500nm"
178,>= 40
179,<= 20nm FWHM or > 20nm FWHM
180,< 200 meters
181,"5,500nm to 30,000nm"
182,>= 40
183,<= 50nm FWHM or > 50nm FWHM
184,< 500 meters
185,>= 1 GHz and <= 10 GHz
186,< 300 MHz
187,> 25 meters
188,> 0.35m
189,> 0.50m
190,> 900nm
191,"<= 5 meters from LEO, <= 30 meters from MEO, <= 150 meters from GEO, <= 225 meters from HEO"
192,> 150 lbf
193,< -120 dBc/Hz + (20 log10(RF) (in GHz))
194,<= 1 arcsec (1-Sigma) per star coordinate
195,>= 3.0 deg/sec
